"Date","Tournament","Finish Pos.","SG: Tee-to-Green","SG: Off-the-Tee","Driving Distance","Driving Distance - All Drives","Longest Drives","Driving Accuracy Percentage","Distance from Edge of Fairway","Left Rough Tendency","Right Rough Tendency","Total Driving","Club Head Speed","Total Driving Efficiency"
"1/27/2019","Farmers Insurance Open","CUT","-1.735","-.609","272.5","272.0","295","67.86","19' 2""","7.14","21.43","1,998","116.23","1,998"
"1/13/2019","Sony Open in Hawaii","CUT","-1.746","-1.297","294.3","279.1","326","57.14","14' 7""","14.81","14.81","1,998","112.46","1,998"
"1/6/2019","Sentry T of C","T32","-2.782","-.484","259.8","273.0","356","91.67","15' 8""","1.67","3.33","32","110.53","44"
"11/25/2018","(*) ISPS Handa World Cup","T23","-","-","-","-","-","-","-","-","-","-","-","-"
"11/4/2018","Shriners Hospitals","T41","1.473",".481","304.9","289.1","345","83.93","16' 6""","3.57","12.50","49","110.22","122"
"10/28/2018","WGC-HSBC Champions","T37","-","-","-","-","285","73.21","-","-","-","-","-","-"
"10/14/2018","CIMB Classic","T43","-","-","-","-","-","80.36","-","-","-","-","-","-"
"9/3/2018","Dell Technologies Champ","CUT","-1.974",".219","291.3","282.6","315","78.57","18' 2""","7.14","7.14","1,998","107.70","1,998"
"8/26/2018","THE NORTHERN TRUST","CUT","-3.237","-.762","271.0","265.1","295","71.43","35' 1""",".00","21.43","1,998","108.38","1,998"
"8/19/2018","Wyndham Championship","CUT","-1.704","-.743","283.5","270.2","311","71.43","17' 0""",".00","21.43","1,998","-","-"
"8/12/2018","PGA Championship","T59","-.772",".156","292.4","274.8","315","67.86","15' 8""","10.71","17.86","98","-","-"
"8/5/2018","WGC-Bridgestone Invit'l","T63",".069",".428","312.0","295.7","364","64.29","24' 1""","25.00","8.93","50","110.61","28"
"7/22/2018","The Open Championship","T35","-","-","298.9","-","341","55.00","-","-","-","104","-","-"
"6/24/2018","Travelers Championship","CUT","-4.180","-.119","296.8","286.6","333","60.71","17' 4""","17.86","7.14","1,998","110.69","1,998"
"6/17/2018","U.S. Open","CUT","-1.261",".034","304.8","286.1","343","78.57","-","3.57","7.14","1,998","-","-"
"6/3/2018","the Memorial Tournament","CUT","-1.443","-.540","274.0","277.5","315","57.14","21' 11""","10.71","17.86","1,998","112.66","1,998"
"5/27/2018","Fort Worth Invitational","T20",".728","-.382","307.5","279.0","337","58.93","26' 2""","10.71","19.64","46","111.90","20"
"5/20/2018","AT&T Byron Nelson","CUT","-.234","-.318","298.8","285.1","330","82.14","8' 5""","7.14",".00","1,998","110.68","1,998"
"5/13/2018","THE PLAYERS Championship","CUT","-2.003","1.069","291.8","286.4","332","64.29","25' 10""","7.14","14.29","1,998","110.42","1,998"
"4/15/2018","RBC Heritage","1","2.098","1.002","271.5","276.5","317","75.00","19' 11""","7.14","10.71","69","111.69","92"
"4/8/2018","Masters Tournament","T28","-","-","290.9","-","315","71.43","-","-","-","40","-","-"
"3/25/2018","WGC-Dell Tech Match Play","T59","-","-","-","-","-","-","-","-","-","-","-","-"
"3/18/2018","Arnold Palmer Invt'l","CUT","-3.308","-.395","286.8","274.3","315","64.29","50' 7""","14.81","7.41","1,998","-","-"
"3/4/2018","WGC-Mexico Championship","54","-2.091","-.347","306.1","303.7","354","50.00","31' 1""","23.21","23.21","73","110.93","33"
"1/14/2018","Sony Open in Hawaii","CUT","-4.458",".377","290.5","289.7","331","60.71","17' 11""","7.14","25.00","1,998","107.90","1,998"
"8/13/2017","PGA Championship","T48",".856","-.726","291.6","279.5","310","66.07","22' 3""","12.50","8.93","75","-","-"
"8/6/2017","WGC-Bridgestone Invit'l","T47","-1.000",".230","306.8","288.5","365","58.93","13' 6""","23.21","16.07","60","107.48","55"
"6/18/2017","U.S. Open","T46","-.363","-.951","295.3","284.0","339","82.14","-","7.14","8.93","74","-","-"
"1/15/2017","Sony Open in Hawaii","T49","-.397","-.085","308.5","285.8","345","58.93","24' 6""","21.43","17.86","65","109.84","27"
"7/17/2016","The Open Championship","CUT","-","-","279.5","-","283","64.29","-","-","-","1,998","-","-"
"1/17/2016","Sony Open in Hawaii","T81","-.239",".115","302.0","289.2","340","52.38","14' 7""","16.67","19.05","1,998","108.77","1,998"
"11/8/2015","WGC-HSBC Champions","71","-","-","-","-","281","71.43","-","-","-","-","-","-"
"8/4/2013","WGC-Bridgestone Invit'l","T65","-2.081","-.161","279.6","281.7","315","58.93","23' 3""","18.18","14.55","87","112.56","57"
"7/21/2013","The Open Championship","CUT","-","-","285.3","-","332","46.43","-","-","-","1,998","-","-"